ID,Name,Brain size species mean,Brain size female mean,Body mass male mean,Body mass female mean,Mass dimorphism,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Sociality
1,Aotus_trivirgatus,16.85360627,16.13050069,1044.433333,933.3333333,1.119035714,4.15,1786,24.771,1488.11,1676.33,B
2,Ateles_belzebuth,117.018609,112.7467216,7850,8484.428571,0.925224361,-0.44,2270.1,25.768,1493.34,1512.96,D
3,Callicebus_donacophilus,,,991,909,1.090209021,-15.87,1089.3,24.432,1238.19,1469.11,BCD
4,Callithrix_jacchus,7.241151,7.05,318,322,0.98757764,-6.58,993.9,24.992,912.68,1488.61,BCD
5,Cebus_albifrons,65.45274529,63.23843667,3180,2290,1.388646288,-0.82,1929.9,25.269,1466.66,1559.7,D
6,Colobus_guereza,74.38698319,69.76647171,9673,7505.642857,1.288763692,5.15,1089.2,23.164,1126.47,1560.54,BCD
7,Daubentonia_madagascariensis,44.84961176,47.1912,2620,2490,1.052208835,-18.79,1491.3,21.7,1216.27,1601.27,A
8,Eulemur_fulvus,25.76933401,25.39221798,2250,2333.333333,0.964285714,-16.64,1561.3,21.416,1179.32,1588.53,D
9,Eulemur_mongoz,20.17210857,19.69415286,1143.333333,1281.538462,0.892156863,-16.11,1258.8,26.199,932.21,1603.66,BD
10,Galago_senegalensis,3.96493594,3.897139842,200.3398058,188,1.065637265,1.95,800.8,24.992,836.61,1594.8,A
11,Gorilla_gorilla,490.4068279,455.8947368,170400,71500,2.383216783,0.88,1528.8,24.243,1291.11,1502.69,CD
12,Hylobates_agilis,91.16428571,90.92857143,5880,5820,1.010309278,0.16,2398,25.416,1743.64,1792.01,B
13,Hylobates_lar,101.866572,100.4870736,5809.203704,5380.925,1.079592023,13.68,1727.4,22.963,1278.1,1612.26,B
14,Hylobates_pileatus,84.68518519,83.83333333,5500,5440,1.011029412,12.92,1576,25.99,1202.35,1711.54,B
15,Lemur_catta,22.904685,19.75,2210,2210,1,-23.05,629.4,22.971,839.07,1636.61,D
16,Loris_tardigradus,5.871076,5.930985,192,193,0.994818653,6.75,1472.7,25.228,1550.45,1554.95,A
17,Macaca_fascicularis,63.97659851,62.14430276,4984.220339,3517.872727,1.416827931,4.13,2190.5,24.922,1553.06,1719.8,D
18,Macaca_mulatta,88.98421827,84.25622063,7915.054054,5670.478261,1.395835358,25.07,1173.6,16.88,902.19,1218.04,D
19,Macaca_sylvanus,93.2,97.93364343,14530.30303,9625,1.509641873,34.21,459.3,14.784,453.11,1163.53,D
20,Macaca_thibetana,,,15200,9500,1.6,28.38,1198,12.961,961.24,1031.02,D
21,Microcebus_murinus,1.630725412,1.65629325,63,67.2,0.9375,-18.95,851.2,24.086,897.1,1624.72,A
22,Nasalis_larvatus,92.30382042,83.83888761,19391.8,9729.647059,1.993063046,1.42,2570.8,25.021,1684.01,1720.98,C
23,Nycticebus_coucang,10.13030421,9.53674852,679,626,1.084664537,0.27,2372.9,24.873,1664.86,1740.31,A
24,Otolemur_crassicaudatus,11.77750484,11.06474572,1190,1110,1.072072072,-14.71,870.9,22.022,912.84,1482.63,A
25,Pan_paniscus,341.2916667,326.25,45000,33200,1.355421687,-1.66,1611.2,25.033,1538.7,1601.58,D
26,Papio_hamadryas,146.1666667,133,18000,10300,1.747572816,12.72,459.4,21.613,572.44,1620.73,CD
27,Perodicticus_potto,12.41553651,11.86700809,802.1230769,867.9125,0.924198092,1.77,1390,24.376,1255.85,1545.51,A
28,Piliocolobus_badius,63.58727639,62.45904677,8360,8210,1.018270402,9.69,1614.6,26.082,1122.36,1554.69,D
29,Pongo_pygmaeus,377.3768541,337.7224645,80136.85714,36947.63636,2.168930547,1.33,2587,23.771,1676.64,1691.74,D
30,Presbytis_melalophos,64.84874298,59.20845024,6554.26,6566.636364,0.998115266,-3.33,2785,24.703,1828.29,1857.75,CD
31,Propithecus_coquereli,30.1941,,3700,3757,0.98482832,-15.49,1347.9,25.142,982.55,1753.03,BCD
32,Pygathrix_nemaeus,91.41473281,89.50395,11000,8440,1.303317536,16.63,1895.3,22.537,1211.19,1472.05,CD
33,Rhinopithecus_roxellana,117.75699,112.70068,17900,11600,1.543103448,32.32,734,9.01,749.43,870.62,C
34,Saguinus_oedipus,9.757819698,9.92250875,416.6129032,445.1111111,0.93597507,9.22,1202.9,26.343,1367.13,1586.07,BCD
35,Saimiri_sciureus,24.13648086,24.01569294,854.9861111,742.484127,1.151521063,-0.64,1868.6,25.303,1461.05,1606.65,D
36,Semnopithecus_entellus,110.9271879,104.5473805,18144,11340,1.6,23.49,788.2,25.401,652.75,1435.84,CD
37,Symphalangus_syndactylus,123.504799,122.450907,11880,10710,1.109243697,0.14,2267.2,24.168,1676.52,1761.04,B
38,Tarsius_bancanus,3.164844063,3.171722927,128,123,1.040650407,0.56,2563.9,24.661,1702.76,1734.7,A
39,Tarsius_syrichta,3.358721556,3.2659238,134,117,1.145299145,9.07,1831,24.107,1565.18,1739.39,A
40,Theropithecus_gelada,133.3270793,124.5201313,19000,11700,1.623931624,10.95,924.9,17.339,900.33,1483.25,C
41,Trachypithecus_obscurus,62.11733526,59.96811752,7346.9,6764.777778,1.086051936,6.82,2019.8,25.504,1624.49,1834.83,D
42,Varecia_variegata,32.12264307,31.16676192,3630,3520,1.03125,-19.18,1885.8,19.9,1351.4,1563.99,D
